Rekola,RKL,Koivukylä,KVY,SOUTH
Riihimäki,RI,Hikiä,HK,NORTH
Riihimäki,RI,Ryttylä,RY,NORTH
Riihimäki,RI,Hyvinkää,HY,SOUTH
Rovaniemi,ROI,Misi,MIS,NORTH
Rovaniemi,ROI,Muurola,MUL,SOUTH
Ruukki,RKI,Kempele,KML,NORTH
Ruukki,RKI,Vihanti,VTI,SOUTH
Ryttylä,RY,Turenki,TU,NORTH
Ryttylä,RY,Riihimäki,RI,SOUTH
Salo,SLO,Kupittaa,KUT,NORTH
Salo,SLO,Karjaa,KR,SOUTH
Saunakallio,SAU,Jokela,JK,NORTH
Saunakallio,SAU,Järvenpää,JP,SOUTH
Savio,SAV,Kerava,KE,NORTH
Savio,SAV,Korso,KRS,SOUTH
Seinäjoki,SK,Lapua,LPA,NORTH
Seinäjoki,SK,Ylistaro,YST,NORTH
Seinäjoki,SK,Parkano,PKO,SOUTH
Seinäjoki,SK,Alavus,ALV,SOUTH
Siilinjärvi,SIJ,Lapinlahti,LNA,NORTH
Siilinjärvi,SIJ,Kuopio,KUO,SOUTH
Siuntio,STI,Karjaa,KR,NORTH
Siuntio,STI,Kirkkonummi,KKN,SOUTH
Suonenjoki,SNJ,Kuopio,KUO,NORTH
Suonenjoki,SNJ,Pieksämäki,PM,SOUTH
Tampere,TPE,Parkano,PKO,NORTH
Tampere,TPE,Nokia,NOA,NORTH
Tampere,TPE,Tesoma,TSO,NORTH
Tampere,TPE,Orivesi,OV,SOUTH
Tampere,TPE,Lempäälä,LPÄ,SOUTH
Tapanila,TNA,Puistola,PLA,NORTH
Tapanila,TNA,Malmi,ML,SOUTH
Tikkurila,TKL,Hiekkaharju,HKH,NORTH
Tikkurila,TKL,Puistola,PLA,SOUTH
Toijala,TL,Viiala,VIA,NORTH
Toijala,TL,Iittala,ITA,SOUTH
Toijala,TL,Humppila,HP,SOUTH
Tolsa,TOL,Kirkkonummi,KKN,NORTH
Tolsa,TOL,Jorvas,JRS,SOUTH
Tuomarila,TRL,Espoo,EPO,NORTH
Tuomarila,TRL,Koivuhovi,KVH,SOUTH
Turenki,TU,Hämeenlinna,HL,NORTH
Turenki,TU,Ryttylä,RY,SOUTH
Turku,TKU,Loimaa,LM,NORTH
Turku,TKU,Turku satama,TUS,SOUTH
Turku satama,TUS,Turku,TKU,NORTH
Uusikylä,UKÄ,Nastola,NSL,NORTH
Uusikylä,UKÄ,Kausala,KA,SOUTH
Vaasa,VS,Laihia,LAI,SOUTH
Valimo,VMO,Pitäjänmäki,PJM,NORTH
Valimo,VMO,Huopalahti,HPL,SOUTH
Vantaankoski,VKS,Vehkala,VEH,NORTH
Vantaankoski,VKS,Martinlaakso,MRL,SOUTH
Vehkala,VEH,Kivistö,KTÖ,NORTH
Vehkala,VEH,Vantaankoski,VKS,SOUTH
Vihanti,VTI,Ruukki,RKI,NORTH
Vihanti,VTI,Oulainen,OU,SOUTH
Viiala,VIA,Lempäälä,LPÄ,NORTH
Viiala,VIA,Toijala,TL,SOUTH
Villähde,VLH,Lahti,LH,NORTH
Villähde,VLH,Nastola,NSL,SOUTH
Ylivieska,YV,Nivala,NVL,NORTH
Ylivieska,YV,Oulainen,OU,NORTH
Ylivieska,YV,Kannus,KNS,SOUTH
